match,n,i
True,816,10
True,816,10
True,816,10
True,816,10
True,816,10
True,816,10
True,816,10
True,816,10
True,816,10
True,816,10
True,815,10
True,815,10
True,815,10
True,815,10
True,815,10
True,815,10
True,815,10
True,815,10
True,815,10
True,815,10
True,814,10
True,814,10
True,814,10
True,814,10
True,814,10
True,814,10
True,814,10
True,814,10
True,814,10
True,814,10
True,813,10
False,813,10
True,813,10
True,813,10
True,813,10
True,813,10
True,813,10
True,813,10
True,813,10
True,813,10
True,812,10
True,812,10
True,812,10
True,812,10
True,812,10
True,812,10
True,812,10
True,812,10
True,812,10
True,812,10
True,811,10
False,811,10
True,811,10
True,811,10
True,811,10
True,811,10
True,811,10
True,811,10
True,811,10
True,811,10
True,810,10
True,810,10
True,810,10
True,810,10
True,810,10
True,810,10
True,810,10
True,810,10
True,810,10
True,810,10
True,809,10
True,809,10
True,809,10
True,809,10
True,809,10
True,809,10
True,809,10
True,809,10
True,809,10
True,809,10
True,808,10
True,808,10
True,808,10
True,808,10
True,808,10
True,808,10
True,808,10
True,808,10
True,808,10
True,808,10
True,807,10
True,807,10
True,807,10
True,807,10
True,807,10
True,807,10
True,807,10
True,807,10
True,807,10
True,807,10
True,806,10
True,806,10
True,806,10
True,806,10
True,806,10
True,806,10
True,806,10
False,806,10
True,806,10
True,806,10
True,805,10
True,805,10
True,805,10
True,805,10
True,805,10
True,805,10
True,805,10
True,805,10
True,805,10
True,805,10
True,804,10
True,804,10
True,804,10
True,804,10
True,804,10
True,804,10
True,804,10
True,804,10
True,804,10
True,804,10
True,803,10
True,803,10
True,803,10
True,803,10
True,803,10
True,803,10
True,803,10
True,803,10
True,803,10
True,803,10
True,802,10
True,802,10
True,802,10
True,802,10
True,802,10
True,802,10
True,802,10
True,802,10
True,802,10
True,802,10
True,801,10
True,801,10
True,801,10
True,801,10
True,801,10
True,801,10
True,801,10
True,801,10
True,801,10
True,801,10
True,800,10
True,800,10
True,800,10
True,800,10
True,800,10
True,800,10
True,800,10
True,800,10
True,800,10
True,800,10
True,799,10
True,799,10
True,799,10
True,799,10
True,799,10
True,799,10
True,799,10
True,799,10
True,799,10
True,799,10
True,798,10
True,798,10
True,798,10
True,798,10
True,798,10
True,798,10
True,798,10
True,798,10
True,798,10
True,798,10
True,797,10
True,797,10
False,797,10
True,797,10
True,797,10
True,797,10
True,797,10
True,797,10
True,797,10
True,797,10
True,796,10
True,796,10
True,796,10
True,796,10
True,796,10
True,796,10
True,796,10
True,796,10
True,796,10
True,796,10
True,795,10
True,795,10
True,795,10
True,795,10
True,795,10
True,795,10
True,795,10
True,795,10
False,795,10
True,795,10
True,794,10
True,794,10
True,794,10
True,794,10
True,794,10
True,794,10
True,794,10
True,794,10
True,794,10
True,794,10
True,793,10
True,793,10
True,793,10
True,793,10
True,793,10
True,793,10
True,793,10
True,793,10
True,793,10
True,793,10
True,792,10
True,792,10
True,792,10
True,792,10
True,792,10
True,792,10
True,792,10
True,792,10
True,792,10
True,792,10
True,791,10
True,791,10
True,791,10
True,791,10
True,791,10
True,791,10
True,791,10
True,791,10
True,791,10
True,791,10
True,790,10
True,790,10
True,790,10
True,790,10
True,790,10
True,790,10
True,790,10
True,790,10
True,790,10
True,790,10
True,789,10
True,789,10
True,789,10
True,789,10
True,789,10
True,789,10
True,789,10
True,789,10
True,789,10
True,789,10
True,788,10
True,788,10
True,788,10
True,788,10
True,788,10
True,788,10
False,788,10
True,788,10
True,788,10
True,788,10
True,787,10
True,787,10
True,787,10
True,787,10
True,787,10
True,787,10
True,787,10
True,787,10
True,787,10
True,787,10
True,786,10
True,786,10
True,786,10
True,786,10
True,786,10
True,786,10
True,786,10
True,786,10
True,786,10
True,786,10
True,785,10
True,785,10
True,785,10
True,785,10
True,785,10
True,785,10
True,785,10
True,785,10
True,785,10
True,785,10
True,784,10
True,784,10
True,784,10
True,784,10
True,784,10
True,784,10
True,784,10
True,784,10
True,784,10
True,784,10
True,783,10
True,783,10
True,783,10
True,783,10
True,783,10
True,783,10
True,783,10
True,783,10
True,783,10
True,783,10
True,782,10
True,782,10
True,782,10
True,782,10
True,782,10
True,782,10
True,782,10
True,782,10
True,782,10
True,782,10
True,781,10
True,781,10
True,781,10
True,781,10
True,781,10
True,781,10
True,781,10
True,781,10
True,781,10
True,781,10
True,780,10
True,780,10
True,780,10
True,780,10
True,780,10
True,780,10
True,780,10
True,780,10
True,780,10
True,780,10
True,779,10
True,779,10
True,779,10
True,779,10
True,779,10
True,779,10
True,779,10
True,779,10
True,779,10
